Año,Componente,Estado,Entidad
2024,Conectividad,Finalizado,FES Cuautitlán
2024,Conectividad,Finalizado,FES Zaragoza
2024,Conectividad,Finalizado,FCA
2024,Conectividad,Finalizado,FENO
2024,Conectividad,Finalizado,ENTS
2024,Conectividad,Finalizado,ENES Merida
2024,Conectividad,Finalizado,Instituto Geofísica
2024,Conectividad,En proceso,FMVZ
2024,Préstamo,Finalizado,ENCIT
2024,Préstamo,Finalizado,FO
2024,Préstamo,Finalizado,FA
2024,Préstamo,Finalizado,FAD
2024,Préstamo,Finalizado,FM
2024,Préstamo,Finalizado,FAM
2024,Préstamo,Finalizado,FPSI
2024,Préstamo,Finalizado,FES ACATLÁN
2024,Préstamo,Finalizado,FES ARAGÓN
2024,Préstamo,Finalizado,CCH Azcapo
2024,Préstamo,Finalizado,CCH Oriente
2024,Préstamo,Finalizado,CCH Naucalpan
2024,Préstamo,Finalizado,CCH Vallejo
2024,Préstamo,Finalizado,CCH Sur
2024,Préstamo,Finalizado,ENP 4
2024,Préstamo,Finalizado,ENP 5
2024,Préstamo,Finalizado,ENP 6
2024,Préstamo,Finalizado,ENP 8
2024,Préstamo,Finalizado,ENP 9
2024,Préstamo,Finalizado,FES Cuautitlán
2025,Conectividad,Finalizado,FA
2025,Conectividad,Finalizado,FAD
2025,Conectividad,Finalizado,FAM
2025,Conectividad,Finalizado,F Psicología
2025,Conectividad,Finalizado,FES ACATLÁN
2025,Conectividad,Finalizado,FES ARAGÓN
2025,Conectividad,Finalizado,FES Cuautitlán
2025,Conectividad,Finalizado,FES Zaragoza
2025,Conectividad,Finalizado,FCA
2025,Conectividad,Finalizado,FENO
2025,Conectividad,Finalizado,ENTS
2025,Conectividad,Finalizado,ENES Merida
2025,Conectividad,Finalizado,Instituto Geofísica
2025,Conectividad,En proceso,FMVZ
2025,Conectividad,En proceso,FES Iztacala
2025,Conectividad,Finalizado,ENALLT
2025,Conectividad,Finalizado,ENES Morelia
2025,Conectividad,Finalizado,ENES León
2025,Conectividad,Finalizado,F Ciencias
2025,Conectividad,Finalizado,IB
2025,Conectividad,Finalizado,Torre de Rectoria
2025,Conectividad,Finalizado,Unidad de Posgrados
2025,Conectividad,Finalizado,FFyL- AGN
2025,Préstamo,Finalizado,ENCIT
2025,Préstamo,Finalizado,FO
2025,Préstamo,Finalizado,FA
2025,Préstamo,Finalizado,FAD
2025,Préstamo,Finalizado,F Medicina
2025,Préstamo,Finalizado,FAM
2025,Préstamo,Finalizado,F Psicología
2025,Préstamo,Finalizado,FES ACATLÁN
2025,Préstamo,Finalizado,FES ARAGÓN
2025,Préstamo,Finalizado,CCH Azcapo
2025,Préstamo,Finalizado,CCH Oriente
2025,Préstamo,Finalizado,CCH Naucalpan
2025,Préstamo,Finalizado,CCH Vallejo
2025,Préstamo,Finalizado,CCH Sur
2025,Préstamo,Finalizado,ENP 4
2025,Préstamo,Finalizado,ENP 5
2025,Préstamo,Finalizado,ENP 6
2025,Préstamo,Finalizado,ENP 8
2025,Préstamo,Finalizado,ENP 9
2025,Préstamo,Finalizado,FES Cuautitlán
2025,Préstamo,Finalizado,FENO
2025,Préstamo,Finalizado,ENTS
2025,Préstamo,Finalizado,ENALLT
2025,Préstamo,Finalizado,ENES Morelia
2025,Préstamo,Finalizado,ENES León
