Año,Componente,Estado,Entidad
2024,Conectividad,Finalizado,Escuela Nacional de Artes Cinematográficas
2024,Conectividad,Finalizado,Dirección General de Divulgación de la Ciencia
2024,Conectividad,Finalizado,Facultad de Odontología Clínicas
2024,Conectividad,Finalizado,"Facultad de Psicología - Clínicas, Dispositivos facultad, Módulo"
2024,Conectividad,Finalizado,UNAM Oaxaca
2024,Conectividad,Finalizado,"FES Iztacala, Edificio TIC, Lab RV"
2024,Conectividad,Finalizado,FES Acatlán
2024,Conectividad,Finalizado,FES Aragón
2024,Conectividad,Finalizado,FES Zaragoza
2024,Conectividad,Finalizado,FES Cuautitlán
2024,Conectividad,En proceso,Dirección General de Administración Escolar
2024,Conectividad,En proceso,Centro de Nanociencias y Nanotecnología
2024,Conectividad,En proceso,Centro de Enseñanza Para Extranjeros
2024,Conectividad,En proceso,Facultad de Ccontabilidad y Administración
2024,Conectividad,En proceso,Dirección General de Servicios Generales y Movilidad
2024,Conectividad,En proceso,Dirección General de Orientación y Atención Educativa
2024,Conectividad,En proceso,Coordinación de Difusión Cultural 
2024,Conectividad,En proceso,Centro de Investigaciones en Geografía Ambiental
2024,Conectividad,En proceso,Instituto de Energías Renovables
2024,Conectividad,En proceso,Instituto de Ingeniería
2024,Préstamo,Finalizado,"Facultad de Psicología - Clínicas, Dispositivos facultad, Módulo"
2024,Préstamo,Finalizado,UNAM Oaxaca
2024,Préstamo,Finalizado,FES Acatlán
2024,Préstamo,Finalizado,FES Aragón
2024,Préstamo,En proceso,Centro de Nanociencias y Nanotecnología
2024,Préstamo,En proceso,Centro de Investigaciones en Geografía Ambiental
2024,Préstamo,Finalizado,Instituto de Energías Renovables
2024,Préstamo,En proceso,Facultad de Filosofía y Letras
2024,Préstamo,En proceso," Defensoría de Derechos Universitarios, Igualdad y Atención de la Violencia de Género"
2024,Préstamo,Finalizado,Escuela Nacional de Trabajo Social
2024,Préstamo,Finalizado,Facultad de Economía
2024,Modernización,En proceso,"Facultad de Psicología - Clínicas, Dispositivos facultad, Módulo"
2024,Modernización,En proceso,"FES Iztacala, Edificio TIC, Lab RV"
2024,Modernización,En proceso,Facultad de Filosofía y Letras
2024,Modernización,En proceso,Escuela Nacional de Trabajo Social
